time_index (s),time_query (s),table_size (MB),index_size (MB)
327.161,32.66,35,15
344.132,30.467,35,15
356.792,31.453,35,15
367.234,33.475,35,15
396.265,37.139,35,15
432.12,35.144,35,15
414.159,34.362,35,15
425.803,36.468,35,15
478.509,37.633,42,15
466.961,38.155,42,15
490.74,39.393,42,15
492.313,40.236,42,15
535.941,43.909,42,15
579.514,45.947,42,15
557.925,46.361,42,15
567.752,45.719,42,15
580.377,45.351,42,15
624.251,46,42,15
630.866,47.062,42,15
634.391,47.866,42,15
632.249,48.864,42,15
645.08,52.121,42,15
688.49,50.786,42,15
674.111,53.719,42,15
689.684,52.772,42,15
723.35,53.712,42,15
750.987,54.92,42,15
729.797,56.801,42,15
747.663,56.342,42,15
776.016,57.379,42,15
812.996,58.451,42,15
