time_index (s),time_query (s),table_size (MB),index_size (MB)
2926.879,272.664,346,77
3520.106,281.41,346,77
2997.111,282.512,346,77
3767.044,275.906,346,77
3221.889,276.583,346,77
3454.682,270.188,346,77
2923.204,281.048,346,77
3035.753,278.046,346,96
3061.822,277.704,346,96
3073.324,277.145,346,96
3036.824,272.99,346,96
4088.275,278.763,346,115
3946.93,275.192,346,115
3908.327,274.298,346,134
3290.74,275.422,346,134
4498.799,284.746,346,153
3594.683,278.819,346,172
5777.579,281.499,346,191
6572.765,281.5,346,211
5186.849,279.05,346,250
7736.36,281.506,346,287
6793.534,312.116,346,326
9961.815,317.677,346,383
10066.34,310.877,346,441
9664.595,321.303,346,517
12885.245,328.546,346,615
13518.349,327.147,346,730
20125.35,331.72,346,868
25116.325,336.576,346,1028
29298.801,341.037,346,1221
33319.522,334.445,346,1447
35593.163,367.978,346,1736
53261.042,355.643,346,2056
62976.005,366.875,346,2441
66264.81,367.421,346,2894
83331.558,412.452,346,3551
105948.995,423.421,346,4340
126504.993,435.432,346,5208
