time_index (s),time_query (s),table_size (MB),index_size (MB)
4253.739,278.725,346.0,153.0
4113.126,287.318,346.0,153.0
5057.966,286.032,346.0,153.0
4103.295,281.611,346.0,153.0
3709.051,298.578,346.0,153.0
3829.057,280.959,346.0,153.0
4777.142,287.99,346.0,153.0
4254.748,282.049,346.0,153.0
3420.508,284.578,346.0,153.0
6226.849,295.701,346.0,153.0
3835.939,287.526,346.0,153.0
4213.359,279.804,346.0,153.0
3825.389,283.735,346.0,153.0
4347.573,282.069,346.0,153.0
3587.075,283.906,346.0,153.0
4307.974,292.018,346.0,153.0
