time_index (s),time_query (s),table_size (MB),index_size (MB)
38.216,8.352,3.896,1.736
39.369,8.769,4.288,1.912
46.031,10.901,4.712,2.096
52.204,16.945,5.184,2.312
56.506,11.566,5.704,2.536
83.490,14.919,6.272,2.792
67.177,13.978,6.904,3.072
137.687,15.782,7.592,3.376
151.758,15.158,8.352,3.712
130.610,13.611,9.184,4.08
157.058,14.616,10.104,4.488
110.832,16.38,11.0,4.936
115.132,16.704,12.0,5.424
120.922,30.456,13.0,5.968
416.545,19.738,14.0,6.568
149.594,22.339,16.0,7.216
181.359,21.958,17.0,7.944
176.071,27.768,19.0,8.736
211.608,46.93,21.0,9.608
225.107,28.898,23.0,10.0
354.983,24.718,26.0,11.0
265.412,26.395,28.0,12.0
292.191,38.192,31.0,14.0
508.431,31.541,34.0,15.0
553.165,45.529,37.0,17.0
400.671,48.799,41.0,18.0
458.689,42.336,45.0,20.0
467.709,62.014,50.0,22.0
512.758,66.272,55.0,24.0
605.755,53.157,60.0,27.0
620.918,75.827,66.0,29.0
739.248,87.403,73.0,32.0
1067.708,64.304,80.0,36.0
991.413,102.538,88.0,39.0
1295.301,73.522,97.0,43.0
1114.849,99.547,107.0,47.0
1197.214,143.696,118.0,52.0
1395.643,127.534,129.0,57.0
1485.646,150.456,142.0,63.0
1866.859,143.232,156.0,69.0
1685.680,157.69,172.0,76.0
2527.684,170.223,189.0,84.0
2012.807,186.679,208.0,92.0
2984.502,199.731,229.0,102.0
3387.701,240.058,252.0,112.0
4088.465,344.107,277.0,123.0
3297.321,277.832,305.0,135.0
3645.608,286.85,335.0,149.0
4689.180,386.275,369.0,163.0
