time_index (s),time_query (s),table_size (MB),index_size (MB)
51.451,0.766,4.76,1.736
80.843,0.657,5.24,1.912
76.606,0.653,5.76,2.096
113.131,0.824,6.336,2.312
108.343,1.168,6.968,2.536
102.936,1.029,7.664,2.792
87.505,0.772,8.432,3.072
96.152,12.409,9.272,3.376
108.505,1.947,10.2,3.712
124.650,1.487,11.0,4.08
155.821,16.709,12.0,4.488
137.145,16.736,13.0,4.936
153.329,1.982,15.0,5.424
167.997,22.547,16.0,5.968
248.010,21.013,18.0,6.568
265.135,24.887,19.0,7.216
226.998,24.955,21.0,7.944
240.231,26.362,23.0,8.736
281.058,30.848,26.0,9.608
400.684,33.597,28.0,10.0
326.109,36.471,31.0,11.0
384.822,39.097,34.0,12.0
411.797,31.135,38.0,14.0
598.816,46.389,42.0,15.0
504.009,36.647,46.0,17.0
745.712,55.208,50.0,18.0
602.366,57.562,55.0,20.0
667.200,46.194,61.0,22.0
729.718,51.822,67.0,24.0
1089.996,57.784,74.0,27.0
915.471,60.104,81.0,29.0
948.781,92.517,89.0,32.0
1174.905,70.782,98.0,36.0
1161.024,93.429,108.0,39.0
1288.749,145.395,119.0,43.0
1441.299,157.228,131.0,47.0
1769.421,123.863,144.0,52.0
1754.349,146.154,158.0,57.0
3775.933,149.929,174.0,63.0
2106.700,166.733,191.0,69.0
3538.467,172.132,210.0,76.0
2497.773,184.66,231.0,84.0
2944.932,227.025,254.0,92.0
3793.435,225.784,280.0,102.0
3377.030,240.987,308.0,112.0
4307.160,255.951,339.0,123.0
5806.785,296.387,372.0,135.0
6134.987,360.693,410.0,149.0
7583.523,344.535,451.0,163.0
