time_index (s),time_query (s),table_size (MB),index_size (MB)
51.623,7.726,4.76,1.736
54.761,8.41,5.24,1.912
61.003,9.112,5.76,2.096
112.381,9.972,6.336,2.312
107.837,11.208,6.968,2.536
99.722,12.002,7.664,2.792
106.665,13.254,8.432,3.072
98.446,14.737,9.272,3.376
103.243,12.162,10.2,3.712
113.565,12.738,11.0,4.08
125.594,13.791,12.0,4.488
190.271,14.818,13.0,4.936
179.452,16.074,15.0,5.424
163.005,16.799,16.0,5.968
169.440,18.412,18.0,6.568
201.826,20.502,19.0,7.216
219.841,21.496,21.0,7.944
240.357,23.474,23.0,8.736
269.127,19.596,26.0,9.608
391.040,21.439,28.0,10.0
318.639,22.66,31.0,11.0
371.987,24.461,34.0,12.0
379.997,26.287,38.0,14.0
616.623,28.974,42.0,15.0
498.164,31.041,46.0,17.0
512.425,34.022,50.0,18.0
611.881,36.922,55.0,20.0
624.774,53.976,61.0,22.0
701.676,44.808,67.0,24.0
777.218,47.971,74.0,27.0
847.719,52.416,81.0,29.0
929.283,59.982,89.0,32.0
1010.574,62.335,98.0,36.0
1156.008,89.714,108.0,39.0
1265.311,99.702,119.0,43.0
1398.524,118.847,131.0,47.0
1517.369,116.056,144.0,52.0
1672.744,124.261,158.0,57.0
1863.858,136.251,174.0,63.0
2068.360,146.412,191.0,69.0
2278.366,161.959,210.0,76.0
3217.603,170.062,231.0,84.0
2816.745,187.243,254.0,92.0
4456.132,209.27,280.0,102.0
3935.824,244.458,308.0,112.0
5047.920,247.815,339.0,123.0
6571.275,267.769,372.0,135.0
5314.065,278.413,410.0,149.0
6288.572,290.028,451.0,163.0
