time_index (s),time_query (s),table_size (MB),index_size (MB)
4190.487,689.853,346.0,153.0
3530.453,269.541,346.0,153.0
4698.208,292.347,346.0,153.0
3427.842,260.508,346.0,153.0
3445.829,291.334,346.0,153.0
3673.060,249.156,346.0,153.0
4293.938,289.95,346.0,153.0
4138.405,247.744,346.0,153.0
4094.117,289.678,346.0,153.0
5130.227,283.969,346.0,153.0
3418.975,291.07,346.0,153.0
3426.477,246.122,346.0,153.0
4865.881,290.018,346.0,153.0
3801.519,282.127,346.0,153.0
4421.015,295.304,346.0,153.0
3381.802,282.51,346.0,153.0
5876.423,298.663,346.0,153.0
3927.469,250.548,346.0,153.0
4255.671,291.021,346.0,153.0
4381.501,291.45,346.0,153.0
4065.061,248.807,346.0,153.0
4263.058,247.612,346.0,153.0
3671.369,285.841,346.0,153.0
5494.363,247.192,346.0,153.0
3951.373,295.8,346.0,153.0
4231.893,292.93,346.0,153.0
3768.028,284.668,346.0,153.0
4764.628,246.566,346.0,153.0
4447.164,247.692,346.0,153.0
4240.997,247.693,346.0,153.0
