time_index (s),time_query (s),table_size (MB),index_size (MB)
611.25,37.327,35,30
778.129,41.123,35,30
814.727,38.498,35,30
848.627,39.032,35,30
852.042,40.307,35,30
883.366,41.461,35,30
913.83,42.08,35,30
824.668,43.397,35,30
832.116,45.244,42,30
905.024,46.692,42,30
915.189,46.424,42,30
844.766,47.755,42,30
876.397,48.422,42,30
874.511,49.424,42,30
873.257,50.488,42,30
915.309,51.64,42,30
953.906,52.578,42,30
923.203,53.345,42,30
930.076,53.948,42,30
915.953,55.122,42,30
944.172,58.238,42,30
949.92,60.091,42,30
1151.736,57.775,42,30
1063.903,60.014,42,30
991.905,60.088,42,30
1002.7,60.956,42,30
1018.39,61.939,42,30
1008.709,62.324,42,30
1004.326,63.767,42,30
1130.554,65.38,42,30
1115.591,65.908,42,30
