time_index (s),time_query (s),table_size (MB),index_size (MB)
151.780,10.035,3.896,2.44
160.607,11.196,4.288,2.68
98.233,12.188,4.712,2.944
108.784,13.316,5.184,3.24
144.246,14.714,5.704,3.56
128.563,16.135,6.272,3.912
139.617,18.428,6.904,4.296
191.308,19.227,7.592,4.728
131.407,14.865,8.352,5.2
144.385,16.214,9.184,5.712
317.250,17.167,10.104,6.28
321.398,17.921,11.0,6.912
207.844,19.708,12.0,7.6
207.870,20.81,13.0,8.352
432.090,22.98,14.0,9.192
525.562,25.27,16.0,10.104
304.922,26.9,17.0,11.0
580.740,29.186,19.0,12.0
470.852,32.279,21.0,13.0
391.104,34.809,23.0,14.0
435.908,27.907,26.0,16.0
725.825,30.235,28.0,17.0
518.759,31.974,31.0,19.0
571.710,35.851,34.0,21.0
717.285,41.131,37.0,23.0
685.935,41.98,41.0,26.0
799.441,46.918,45.0,28.0
1522.854,51.06,50.0,31.0
1639.427,55.371,55.0,34.0
1275.696,60.733,60.0,37.0
1202.313,75.355,66.0,41.0
1289.858,71.718,73.0,45.0
1532.786,78.859,80.0,50.0
1767.993,87.144,88.0,55.0
1744.423,95.086,97.0,60.0
1907.287,103.756,107.0,66.0
2352.034,113.498,118.0,73.0
3123.374,153.452,129.0,80.0
2773.493,165.431,142.0,88.0
2818.156,172.898,156.0,97.0
4826.752,200.233,172.0,107.0
3351.539,215.515,189.0,117.0
3743.740,237.934,208.0,129.0
4133.318,296.917,229.0,142.0
5468.059,289.597,252.0,156.0
5947.949,323.336,277.0,172.0
7235.732,342.944,305.0,189.0
8615.683,360.211,335.0,208.0
10188.557,406.419,369.0,229.0
