time_index (s),time_query (s),table_size (MB),index_size (MB)
90.420,10.5,4.76,2.44
91.079,11.548,5.24,2.68
98.621,12.701,5.76,2.944
107.811,14.316,6.336,3.24
119.351,15.313,6.968,3.56
129.255,17.277,7.664,3.912
110.704,12.909,8.432,4.296
140.683,14.244,9.272,4.728
130.069,15.337,10.2,5.2
286.982,16.336,11.0,5.712
305.655,17.732,12.0,6.28
205.165,19.405,13.0,6.912
214.029,20.624,15.0,7.6
207.350,22.425,16.0,8.352
256.704,24.331,18.0,9.192
250.336,26.62,19.0,10.104
300.655,28.673,21.0,11.0
329.857,31.733,23.0,12.0
331.815,36.037,26.0,13.0
675.143,26.675,28.0,14.0
458.384,29.282,31.0,16.0
484.120,31.731,34.0,17.0
764.993,34.983,38.0,19.0
573.807,38.607,42.0,21.0
1082.402,41.758,46.0,23.0
732.211,45.137,50.0,26.0
866.981,49.914,55.0,28.0
1239.495,53.405,61.0,31.0
1620.365,58.203,67.0,34.0
1103.569,64.321,74.0,37.0
1230.167,71.327,81.0,41.0
1365.911,77.661,89.0,45.0
1424.991,85.761,98.0,50.0
1613.252,107.161,108.0,55.0
1836.871,123.14,119.0,60.0
1937.354,135.062,131.0,66.0
2130.129,146.477,144.0,73.0
3588.638,166.76,158.0,80.0
2910.695,178.177,174.0,88.0
2816.413,198.256,191.0,97.0
5131.479,228.91,210.0,107.0
4329.228,236.884,231.0,117.0
3931.782,255.919,254.0,129.0
5868.787,285.169,280.0,142.0
6226.842,309.711,308.0,156.0
8019.346,332.774,339.0,172.0
8472.892,365.341,372.0,189.0
9002.449,396.737,410.0,208.0
10020.861,441.863,451.0,229.0
