time_index (s),time_query (s),table_size (MB),index_size (MB)
80.866,9.965,4.76,2.44
90.150,10.921,5.24,2.68
99.197,12.045,5.76,2.944
108.062,13.451,6.336,3.24
115.260,14.404,6.968,3.56
181.788,15.739,7.664,3.912
227.859,17.574,8.432,4.296
227.301,13.239,9.272,4.728
136.605,14.354,10.2,5.2
166.065,15.465,11.0,5.712
179.228,16.601,12.0,6.28
336.013,18.218,13.0,6.912
372.325,19.513,15.0,7.6
226.977,21.107,16.0,8.352
232.415,23.057,18.0,9.192
482.081,25.016,19.0,10.104
302.892,27.139,21.0,11.0
305.982,30.11,23.0,12.0
356.491,24.241,26.0,13.0
701.969,25.533,28.0,14.0
510.156,27.532,31.0,16.0
650.091,30.827,34.0,17.0
810.405,32.843,38.0,19.0
568.561,36.437,42.0,21.0
625.181,38.84,46.0,23.0
706.675,43.434,50.0,26.0
827.430,47.136,55.0,28.0
898.604,51.429,61.0,31.0
1244.518,57.555,67.0,34.0
1081.097,63.389,74.0,37.0
1470.500,66.5,81.0,41.0
1332.605,71.773,89.0,45.0
1416.881,81.389,98.0,50.0
1645.336,106.046,108.0,55.0
2749.308,111.698,119.0,60.0
2814.563,125.349,131.0,66.0
3130.157,153.973,144.0,73.0
2886.158,160.326,158.0,80.0
2652.757,183.359,174.0,88.0
3580.926,193.59,191.0,97.0
3192.775,210.534,210.0,107.0
5934.421,227.261,231.0,117.0
4953.450,249.054,254.0,129.0
6650.235,277.115,280.0,142.0
6584.998,306.743,308.0,156.0
7058.302,344.616,339.0,172.0
7959.735,389.14,372.0,189.0
8133.567,386.686,410.0,208.0
11362.722,440.129,451.0,229.0
