time_index (s),time_query (s),table_size (MB),index_size (MB)
9157.937,949.738,346.0,214.0
12629.701,371.878,346.0,214.0
11503.411,378.745,346.0,214.0
10848.683,379.265,346.0,214.0
9431.999,375.132,346.0,214.0
9976.545,340.345,346.0,214.0
11783.407,328.977,346.0,214.0
12619.776,328.27,346.0,214.0
10724.551,375.152,346.0,214.0
10119.283,371.516,346.0,214.0
9497.031,326.231,346.0,214.0
12809.203,329.527,346.0,214.0
11400.969,373.548,346.0,214.0
9228.422,379.523,346.0,214.0
11758.773,379.761,346.0,214.0
10280.760,336.27,346.0,214.0
11943.881,381.894,346.0,214.0
11076.780,383.547,346.0,214.0
10549.151,386.401,346.0,214.0
9947.920,380.346,346.0,214.0
9204.672,377.901,346.0,214.0
11942.925,330.601,346.0,214.0
12524.762,383.846,346.0,214.0
10249.615,332.962,346.0,214.0
11045.124,378.238,346.0,214.0
11159.758,379.649,346.0,214.0
11674.515,327.52,346.0,214.0
12217.085,330.233,346.0,214.0
11083.329,371.896,346.0,214.0
9835.166,380.811,346.0,214.0
